"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C18,C108,CC1","4","1u","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"C2,C5,C7","3","22n","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"C3,C4,C6,C13","4","220n","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"C8,C9,C10,C11,C16,C105,C106,C107,C109,C110,C111,C112,C113,C114,C115,C120","16","100n","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"C12","1","2.2n","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"C14,C15","2","22u","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"C17","1","100u","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"C101,C104,C117","3","10u","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"C102,C103","2","15p","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"CFF1","1","33n","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"Cin1","1","220u","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"Cout1","1","330u","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
"D1,D2,D3","3","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D4,D5,D6","3","SS54FSH","","","","SS54FSH:SODFL4725X110N",""
"D101,D102","2","1N5817","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"F1","1","Fuse","","","","Fuse:Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"FB1","1","FerriteBead","","","","Inductor_SMD:L_6.3x6.3_H3","~"
"J1","1","Micro_SD_Card_Det1","","","","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","https://datasheet.lcsc.com/lcsc/2110151630_XKB-Connectivity-XKTF-015-N_C381082.pdf"
"J2","1","Barrel_Jack_Switch_Pin3Ring","","","","Connector_BarrelJack:BarrelJack_Horizontal","~"
"J3","1","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J4,J16","2","Conn_01x03","","","","Connector:FanPinHeader_1x03_P2.54mm_Vertical","~"
"J5,J6,J7,J11,J12,J17","6","Conn_01x06","","","","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","~"
"J8,J9,J10,J13,J14,J15","6","Conn_01x04","","","","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~"
"JUSBC1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4085","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"L1","1","47u","","","","Inductor_SMD:L_12x12mm_H8mm","~"
"R2,R5,R7,R9,R12,R14","6","1k","","","","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","~"
"R3,R8,R13,R32","4","10k","","","","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","~"
"R4,R11,R16","3","220","","","","Resistor_SMD:R_2010_5025Metric_Pad1.40x2.65mm_HandSolder","~"
